Comment,Designator,Footprint,LCSC,Quantity
100nF,"C1,C2,C3",C_0603,C14663,3
100Ω,"R17,R18,R21,R24,R27",R_0603,C22775,5
10kΩ,"R10,R13,R4,R6",R_0402,C25744,4
10uF,"C16,C18",C_0603,C19702,2
12pF,"C4,C5",C_0603,C38523,2
1N5819WS,"D2,D4,D5,D6,D8",D_SOD-323,C191023,5
1kΩ,"R30,R31,R32,R33,R34",R_0603,C21190,5
2kΩ,"R16,R20,R23,R26,R29",R_0603,C22975,5
330Ω,"R1,R14",R_0402,C25104,2
AMS1117,U4,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186,1
DB2ERC-5.0-3P-GN,"CN1,CN2,CN3,CN4,CN5",CONN-TH_3P-P5.00_DB2ERC-5.0-3P-GN,C5445289,5
JE-105D_C3250129,"RELAY1,RELAY2,RELAY3,RELAY4,RELAY5",RELAY-TH_JE-1XXD,C3250129,5
LTV-217-B-G,"U5,U6,U7,U8,U9",SOP-4_4.4x2.6mm_P1.27mm,C115450,5
M24C64,U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C79988,1
MMBT5551 200-300,"Q12,Q13,Q14,Q15,Q16",Q_SOT-23,C2145,5
Red,"D1,D10,D11,D12,D13,D3,D9",D_0603,C2286,7
SN74CB3Q3384APW,U1,TSSOP-24_4.4x7.8mm_P0.65mm,C469874,1
"Tactile Button, 160gf",S1,SW_TS-1088-AR02016,C720477,1
X322525MOB4SI,X1,OSC-SMD_4P-L3.2-W2.5-BL,C9006,1
CH32V003FxPx,U3,TSSOP-20_4.4x6.5mm_P0.65mm,,1
Chainbus Out,J2,PinSocket_2x16_P2.54mm_Vertical_SMD,,1
~,H8,Hole_Tooling_JLCPCB,,1
Conn_01x04_Pin,J3,PinHeader_1x04_P2.54mm_Vertical,,1
~,H7,Hole_Tooling_JLCPCB,,1
~,H9,Hole_Tooling_JLCPCB,,1
Program,J5,PinHeader_1x03_P2.54mm_Vertical,,1
Chainbus in,J1,PinHeader_2x16_P2.54mm_Vertical_SMD,,1
