Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603,107.6,-103.8,0.0,top
C16,10uF,C_0603,169.0,-92.7,0.0,top
C18,10uF,C_0603,169.1,-95.0,0.0,top
C2,100nF,C_0603,171.9,-105.365,90.0,top
C3,100nF,C_0603,87.678732,-103.447107,-90.0,top
C4,12pF,C_0603,85.56,-97.875,180.0,top
C5,12pF,C_0603,85.56,-102.675,0.0,top
D1,Red,D_0603,85.21,-95.8,0.0,top
D10,Red,D_0603,105.13591,-137.2,0.0,top
D11,Red,D_0603,122.67182,-137.2,0.0,top
D12,Red,D_0603,140.20773,-137.2,0.0,top
D13,Red,D_0603,157.74364,-137.2,0.0,top
D2,1N5819WS,D_SOD-323,90.2,-109.34,0.0,top
D3,Red,D_0603,176.165,-98.005,0.0,top
D4,1N5819WS,D_SOD-323,107.73591,-109.34,0.0,top
D5,1N5819WS,D_SOD-323,125.27182,-109.34,0.0,top
D6,1N5819WS,D_SOD-323,142.80773,-109.34,0.0,top
D8,1N5819WS,D_SOD-323,160.34364,-109.34,0.0,top
D9,Red,D_0603,87.6,-137.2,0.0,top
G***,LOGO,QR,164.85,-117.95,0.0,bottom
H1,M2.5 Mount,MountingHole_2.7mm_M2.5_DIN965_Pad_TopOnly,82.0,-92.0,0.0,top
H2,M2.5 mount,MountingHole_2.7mm_M2.5,174.0,-134.0,0.0,top
H3,M2.5 mount,MountingHole_2.7mm_M2.5,82.0,-134.0,0.0,top
H4,M2.5 mount,MountingHole_2.7mm_M2.5,174.0,-92.0,0.0,top
H5,M2.5 mount,MountingHole_2.7mm_M2.5,103.0,-94.0,0.0,top
H6,M2.5 mount,MountingHole_2.7mm_M2.5,153.0,-94.0,0.0,top
H7,~,Hole_Tooling_JLCPCB,79.0,-89.5,0.0,top
H8,~,Hole_Tooling_JLCPCB,177.0,-89.485,0.0,top
H9,~,Hole_Tooling_JLCPCB,177.0,-137.0,0.0,top
J1,Chainbus in,PinHeader_2x16_P2.54mm_Vertical_SMD,127.99,-95.538272,270.0,bottom
J10,Conn_01x03_Pin,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,164.74364,-132.555,0.0,top
J2,Chainbus Out,PinSocket_2x16_P2.54mm_Vertical_SMD,128.0,-95.558272,90.0,top
J3,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,175.895,-104.41,180.0,top
J5,Program,PinHeader_1x03_P2.54mm_Vertical,92.86,-94.0,90.0,top
J6,Conn_01x03_Pin,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,94.6,-132.555,0.0,top
J7,Conn_01x03_Pin,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,112.13591,-132.555,0.0,top
J8,Conn_01x03_Pin,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,129.67182,-132.555,0.0,top
J9,Conn_01x03_Pin,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,147.20773,-132.555,0.0,top
Q12,MMBT5551 200-300,Q_SOT-23,90.2,-106.4,-90.0,top
Q13,MMBT5551 200-300,Q_SOT-23,107.73591,-106.4,-90.0,top
Q14,MMBT5551 200-300,Q_SOT-23,125.27182,-106.4,-90.0,top
Q15,MMBT5551 200-300,Q_SOT-23,142.80773,-106.4,-90.0,top
Q16,MMBT5551 200-300,Q_SOT-23,160.34364,-106.4,-90.0,top
R1,330Ω,R_0402,173.7,-98.285,0.0,top
R10,10kΩ,R_0402,96.54985,-100.918581,-90.0,top
R13,10kΩ,R_0402,79.36,-98.175,90.0,top
R14,330Ω,R_0402,87.21,-95.8,90.0,top
R16,2kΩ,R_0603,93.4,-105.4,180.0,top
R17,100Ω,R_0603,99.8,-105.4,0.0,top
R18,100Ω,R_0603,117.33591,-105.4,0.0,top
R20,2kΩ,R_0603,110.93591,-105.4,180.0,top
R21,100Ω,R_0603,134.87182,-105.4,0.0,top
R23,2kΩ,R_0603,128.47182,-105.4,180.0,top
R24,100Ω,R_0603,152.40773,-105.4,0.0,top
R26,2kΩ,R_0603,146.00773,-105.4,180.0,top
R27,100Ω,R_0603,169.94364,-105.4,0.0,top
R29,2kΩ,R_0603,163.54364,-105.4,180.0,top
R30,1kΩ,R_0603,86.0,-110.22,-90.0,top
R31,1kΩ,R_0603,103.53591,-110.22,-90.0,top
R32,1kΩ,R_0603,121.07182,-110.22,-90.0,top
R33,1kΩ,R_0603,138.60773,-110.22,-90.0,top
R34,1kΩ,R_0603,156.14364,-110.22,-90.0,top
R4,10kΩ,R_0402,97.0,-103.8,180.0,top
R6,10kΩ,R_0402,95.0,-104.2,180.0,top
RLY1,SRD-05VDC-SL-C,RELAY-TH_SRD-XXVDC-XL-C,94.6,-118.9,-90.0,top
RLY2,SRD-05VDC-SL-C,RELAY-TH_SRD-XXVDC-XL-C,112.13591,-118.9,-90.0,top
RLY3,SRD-05VDC-SL-C,RELAY-TH_SRD-XXVDC-XL-C,129.67182,-118.9,-90.0,top
RLY4,SRD-05VDC-SL-C,RELAY-TH_SRD-XXVDC-XL-C,147.20773,-118.9,-90.0,top
RLY5,SRD-05VDC-SL-C,RELAY-TH_SRD-XXVDC-XL-C,164.74364,-118.9,-90.0,top
S1,"Tactile Button, 160gf",SW_TS-1088-AR02016,81.76,-100.075,-90.0,top
U1,SN74CB3Q3384APW,TSSOP-24_4.4x7.8mm_P0.65mm,102.0,-100.8,-90.0,top
U2,M24C64,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,166.8,-101.4,90.0,top
U3,CH32V003FxPx,TSSOP-20_4.4x6.5mm_P0.65mm,92.2,-100.2,0.0,top
